Lower tier local authorities Code,Lower tier local authorities,Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Observation
E09000001,City of London,-8,Does not apply,-8,Does not apply,0
E09000001,City of London,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",598
E09000001,City of London,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",121
E09000001,City of London,-8,Does not apply,3,Mixed or Multiple ethnic groups,214
E09000001,City of London,-8,Does not apply,4,White,2090
E09000001,City of London,-8,Does not apply,5,Other ethnic group,208
E09000001,City of London,1,"1. Managers, directors and senior officials",-8,Does not apply,0
E09000001,City of London,1,"1. Managers, directors and senior officials",1,"Asian, Asian British or Asian Welsh",155
E09000001,City of London,1,"1. Managers, directors and senior officials",2,"Black, Black British, Black Welsh, Caribbean or African",14
E09000001,City of London,1,"1. Managers, directors and senior officials",3,Mixed or Multiple ethnic groups,46
E09000001,City of London,1,"1. Managers, directors and senior officials",4,White,851
E09000001,City of London,1,"1. Managers, directors and senior officials",5,Other ethnic group,37
E09000001,City of London,2,2. Professional occupations,-8,Does not apply,0
E09000001,City of London,2,2. Professional occupations,1,"Asian, Asian British or Asian Welsh",425
E09000001,City of London,2,2. Professional occupations,2,"Black, Black British, Black Welsh, Caribbean or African",25
E09000001,City of London,2,2. Professional occupations,3,Mixed or Multiple ethnic groups,93
E09000001,City of London,2,2. Professional occupations,4,White,1697
E09000001,City of London,2,2. Professional occupations,5,Other ethnic group,109
E09000001,City of London,3,3. Associate professional and technical occupations,-8,Does not apply,0
E09000001,City of London,3,3. Associate professional and technical occupations,1,"Asian, Asian British or Asian Welsh",127
E09000001,City of London,3,3. Associate professional and technical occupations,2,"Black, Black British, Black Welsh, Caribbean or African",16
E09000001,City of London,3,3. Associate professional and technical occupations,3,Mixed or Multiple ethnic groups,61
E09000001,City of London,3,3. Associate professional and technical occupations,4,White,777
E09000001,City of London,3,3. Associate professional and technical occupations,5,Other ethnic group,46
E09000001,City of London,4,4. Administrative and secretarial occupations,-8,Does not apply,0
E09000001,City of London,4,4. Administrative and secretarial occupations,1,"Asian, Asian British or Asian Welsh",40
E09000001,City of London,4,4. Administrative and secretarial occupations,2,"Black, Black British, Black Welsh, Caribbean or African",12
E09000001,City of London,4,4. Administrative and secretarial occupations,3,Mixed or Multiple ethnic groups,18
E09000001,City of London,4,4. Administrative and secretarial occupations,4,White,187
E09000001,City of London,4,4. Administrative and secretarial occupations,5,Other ethnic group,10
E09000001,City of London,5,5. Skilled trades occupations,-8,Does not apply,0
E09000001,City of London,5,5. Skilled trades occupations,1,"Asian, Asian British or Asian Welsh",11
E09000001,City of London,5,5. Skilled trades occupations,2,"Black, Black British, Black Welsh, Caribbean or African",6
E09000001,City of London,5,5. Skilled trades occupations,3,Mixed or Multiple ethnic groups,3
E09000001,City of London,5,5. Skilled trades occupations,4,White,67
E09000001,City of London,5,5. Skilled trades occupations,5,Other ethnic group,11
E09000001,City of London,6,"6. Caring, leisure and other service occupations",-8,Does not apply,0
E09000001,City of London,6,"6. Caring, leisure and other service occupations",1,"Asian, Asian British or Asian Welsh",19
E09000001,City of London,6,"6. Caring, leisure and other service occupations",2,"Black, Black British, Black Welsh, Caribbean or African",15
E09000001,City of London,6,"6. Caring, leisure and other service occupations",3,Mixed or Multiple ethnic groups,9
E09000001,City of London,6,"6. Caring, leisure and other service occupations",4,White,94
E09000001,City of London,6,"6. Caring, leisure and other service occupations",5,Other ethnic group,17
E09000001,City of London,7,7. Sales and customer service occupations,-8,Does not apply,0
E09000001,City of London,7,7. Sales and customer service occupations,1,"Asian, Asian British or Asian Welsh",23
E09000001,City of London,7,7. Sales and customer service occupations,2,"Black, Black British, Black Welsh, Caribbean or African",3
E09000001,City of London,7,7. Sales and customer service occupations,3,Mixed or Multiple ethnic groups,8
E09000001,City of London,7,7. Sales and customer service occupations,4,White,79
E09000001,City of London,7,7. Sales and customer service occupations,5,Other ethnic group,9
E09000001,City of London,8,"8. Process, plant and machine operatives",-8,Does not apply,0
E09000001,City of London,8,"8. Process, plant and machine operatives",1,"Asian, Asian British or Asian Welsh",10
E09000001,City of London,8,"8. Process, plant and machine operatives",2,"Black, Black British, Black Welsh, Caribbean or African",4
E09000001,City of London,8,"8. Process, plant and machine operatives",3,Mixed or Multiple ethnic groups,2
E09000001,City of London,8,"8. Process, plant and machine operatives",4,White,34
E09000001,City of London,8,"8. Process, plant and machine operatives",5,Other ethnic group,2
E09000001,City of London,9,9. Elementary occupations,-8,Does not apply,0
E09000001,City of London,9,9. Elementary occupations,1,"Asian, Asian British or Asian Welsh",36
E09000001,City of London,9,9. Elementary occupations,2,"Black, Black British, Black Welsh, Caribbean or African",16
E09000001,City of London,9,9. Elementary occupations,3,Mixed or Multiple ethnic groups,14
E09000001,City of London,9,9. Elementary occupations,4,White,79
E09000001,City of London,9,9. Elementary occupations,5,Other ethnic group,34
